ID;Descrizione;Parte edibile  (g);Acqua (g);Energia (kcal);Energia (kJ);Proteine totali (g);Proteine animali (g);Proteine vegetali (g);Lipidi totali (g);Lipidi animali (g);Lipidi vegetali (g);Lipidi saturi (g);Acido oleico (g);Monoinsaturi totali (g);Acido linoleico (g);Acido linolenico (g);Altri polinsaturi (g);Polinsaturi totali (g);Colesterolo (mg);Glucidi dispon. (g);Amido (g);Glucidi solubili (g);Fibra alimentare  (g);Alcool g;Fe (mg);Ca (mg);Na (mg);K (mg);P (mg);Zn (mg);B1 (mg);B2 (mg);Niacina (mg);Vit. C (mg);Vit. B6 (mg);Acido Folico (mcg);Retinolo equivalenti (mcg);Vit. A (mcg);b-carotene (mcg);Vit. E (mg);Vit. D (mcg);Column43;Column44;Column45;Column46
1;ACCIUGHE o ALICI;75;76,5;96;402;16,8;16,8;0;2,6;2,6;0;0,69;0,34;0,63;0,05;0;0,83;0,88;70;1,5;0;1,5;0;0;2,8;148;104;278;196;1,5;0,06;0,26;14;0;0,14;9;32;32;0;0,29;11;1;1300;11001;ACCIUGHE o ALICI 
2;ACCIUGHE o ALICI SOTTO SALE    ;50;53,8;128;536;25;25;0;3,1;3,1;0;0,82;0,4;0,76;0,06;0;0,99;1,05;70;0;0;0;0;0;6,9;542;3604;215;481;1,7;0,06;0,26;14;0;0,14;8;55;55;0;0,29;4,6;1;1502;11004;ACCIUGHE o ALICI SOTTO SALE
3;ACCIUGHE o ALICI SOTT'OLIO     ;100;56;206;862;25,9;25,9;0;11,3;6,6;4,7;2,21;5,33;6,17;0,8;0,11;1,33;2,24;120;0,2;0;0,2;0;0;1,3;44;480;700;351;2,2;0,06;0,2;6,5;0;0,18;8;58;58;0;0,31;5;1;1501;11003;ACCIUGHE o ALICI SOTT'OLIO
4;ACETO        ;100;99;4;17;0,4;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0,6;0;0,6;0;0;0,5;15;20;89;32;0,6;0;0;0;0;0;0;0;0;0;0;0;1;100205;24002;ACETO
5;ACQUA        ;100;99,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;999999;26001;ACQUA 
6;ACQUA TONICA       ;100;91,1;33;138;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,8;0;8,8;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;777021;16001;ACQUA TONICA
7;AGAR AGAR secco      ;100;9,7;16;67;1,6;0;1,6;1,2;0;1,2;0,24;0,04;0,11;0,02;0;0,39;0,41;0;0;0;0;81,1;0;20,6;760;110;110;50;14,4;0,01;0,22;0,2;0;0;0;0;0;0;0;0;1;8031;2011;AGAR AGAR [EUCHEUMA spp], secco
8;AGLIO  fresco      ;75;80;41;172;0,9;0;0,9;0,6;0;0,6;0,11;0,01;0,01;0,27;0,02;0;0,3;0;8,4;0;8,4;2,3;0;1,5;14;2;347;63;0,6;0,14;0,02;1,3;5;0,21;3;5;0;30;0,01;0;1;301;2005;AGLIO [ALLIUM SATIVUM], fresco
9;AGLIO  in polvere     ;100;6,5;246;1029;18,7;0;18,7;1,2;0;1,2;0,21;0,03;0,03;0,55;0,05;0;0,6;0;42,7;38,5;4,2;9,9;0;3,9;65;19;1360;220;2,6;0,47;0,12;0,7;0;0,99;0;0;0;0;0,03;0;1;603501;2005;AGLIO, in polvere
10;AGNELLO        ;83;70,1;162;678;20,8;20,8;0;8,8;8,8;0;4,15;3,14;3,25;0,2;0,2;0;0,41;71;0;0;0;0;0;1,6;7;88;350;190;3,3;0,14;0,28;6;0;0,3;6;0;0;0;0,09;0,4;1;1060;10080;AGNELLO [OVIS AGNUS]
11;AGNELLO CARNE GRASSA      ;100;58;279;1167;18;18;0;23;23;0;10,86;8,21;8,49;0,54;0,54;0;1,07;79;0;0;0;0;0;2;10;100;350;200;2;0,1;0,19;3,8;0;0,23;3;12;12;0;0,07;0,4;1;100035;10080;AGNELLO, CARNE GRASSA
12;AGNELLO CARNE MAGRA      ;100;73;121;506;20;20;0;4,6;4,6;0;2,17;1,64;1,7;0,11;0,11;0;0,21;71;0;0;0;0;0;2;10;100;350;196;3,3;0,1;0,2;4,9;0;0,3;6;6;6;0;0,09;0,4;1;100033;10080;AGNELLO, CARNE MAGRA
13;AGNELLO CARNE SEMIGRASSA      ;100;65;211;883;19;19;0;15;15;0;7,08;5,36;5,54;0,35;0,35;0;0,7;71;0;0;0;0;0;2;10;100;350;200;2,6;0,1;0,19;4;0;0,19;2;10;10;0;0,07;0,6;1;100034;10080;AGNELLO, CARNE SEMIGRASSA
14;AGNELLO CORATELLA       ;100;77,2;110;460;15,7;15,7;0;4,7;4,7;0;1,66;1,15;1,32;0,23;0,11;0,21;0,56;240;1,2;0;1,2;0;0;8,8;9;103;290;282;2,8;0,45;2,04;10,3;18;0,36;92;7500;7494;36;0,54;0,45;1;1262;10081;AGNELLO, CORATELLA
15;AGNELLO COSTOLETTE       ;77;48,7;386;1615;14,6;14,6;0;36,3;36,3;0;17,14;12,96;13,4;0,85;0,85;0;1,69;71;0;0;0;0;0;1,2;7;60;230;130;1,9;0,09;0,16;3,9;0;0,34;11;0;0;0;0,07;0,4;1;700499;10080;AGNELLO, COSTOLETTE
16;AGRETTI        ;97;92,3;17;71;1,8;0;1,8;0,2;0;0,2;0,01;0,02;0,07;0,04;0,02;0;0,07;0;2,2;0;2,2;2,3;0;1,2;131;14;606;34;0,2;0,03;0,19;0,8;24;0,25;80;392;0;2352;0,7;0;1;302;2008;AGRETTI [LEPIDUM SATIVUM]
17;ALBICOCCHE        ;94;86,3;28;117;0,4;0;0,4;0,1;0;0,1;0,01;0,04;0,04;0,02;0;0;0,02;0;6,8;0;6,8;1,5;0;0,5;16;1;320;16;0,1;0,03;0,03;0,5;13;0,08;5;360;0;2160;0,61;0;1;401;4001;ALBICOCCHE (PRUNUS ARMENIACA)
